idx,dist_m,lat,lon,x_m,y_m,segment,target_speed_kph,action,action_code,offtrack_radius_m
1000,10000.0,39.79157952459125,-86.23257343852738,528.3840877448295,-115.89847168363137,201,27.0,accelerate,1,40.0
1001,10010.0,39.791559769291304,-86.23246009954967,538.0782870830133,-118.08222253942061,201,27.0,accelerate,1,40.0
1002,10020.0,39.791555,-86.23234343355844,548.0570551820052,-118.60941999979033,201,27.0,accelerate,1,40.0
1003,10030.0,39.791564306669045,-86.23222713330439,558.0045407574491,-117.58066080355282,201,27.0,accelerate,1,40.0
1004,10040.0,39.79157285343471,-86.23211063298383,567.9691385796004,-116.63590132727136,201,27.0,accelerate,1,40.0
1005,10050.0,39.791577800605026,-86.23199378245437,577.9636907492016,-116.08904112078163,202,25.0,coast,3,40.0
1006,10060.0,39.79158046608889,-86.23187679295567,587.9701293438422,-115.7943985343293,202,25.0,coast,3,40.0
1007,10070.0,39.79158306067295,-86.23175980005384,597.9768590192317,-115.50759321251184,202,25.0,coast,3,40.0
1008,10080.0,39.79158157556453,-86.2316428425004,607.9805652467419,-115.67175709691627,202,25.0,coast,3,40.0
1009,10090.0,39.79157188675696,-86.23152654983505,617.927401740234,-116.74275788561347,202,25.0,coast,3,40.0
1010,10100.0,39.79155107523737,-86.23141292363361,627.646168126078,-119.04326326070203,203,28.0,accelerate,1,40.0
1011,10110.0,39.79151713384705,-86.23130471867624,636.9012403649323,-122.79514454691409,203,28.0,accelerate,1,40.0
1012,10120.0,39.79146500835737,-86.23121001367569,645.0016235896168,-128.55709617660173,203,28.0,accelerate,1,40.0
1013,10130.0,39.79139249235213,-86.2311413516801,650.8744758579563,-136.57301539536155,203,28.0,accelerate,1,40.0
1014,10140.0,39.791314340566494,-86.23108346314393,655.8258440482015,-145.21191377999241,203,28.0,accelerate,1,40.0
1015,10150.0,39.791231781469094,-86.23103779616592,659.7318682334112,-154.33799640607575,204,26.0,coast,3,40.0
1016,10160.0,39.79114568168597,-86.23100399446167,662.6230224117268,-163.8554664330962,204,26.0,coast,3,40.0
1017,10170.0,39.79105807708955,-86.23097802016187,664.8446768241602,-173.5392785206516,204,26.0,coast,3,40.0
1018,10180.0,39.79096919744342,-86.23096021299601,666.3677734592878,-183.36403460480219,204,26.0,coast,3,40.0
1019,10190.0,39.790879975507266,-86.23094599922246,667.583517212842,-193.22662742682215,204,26.0,coast,3,40.0
1020,10200.0,39.79079021325634,-86.23094770893374,667.4372808317326,-203.1489466444999,205,24.0,coast,3,40.0
